trip_settlement_id,driver_id,settlement_date,gross_fare,platform_commission,incentive,net_amount
OLAW003202504W0,W003,2025-04-06,4977,995,670,4652
OLAW003202504W1,W003,2025-04-13,5744,1148,376,4972
OLAW003202504W2,W003,2025-04-20,5092,1018,456,4530
OLAW003202504W3,W003,2025-04-27,5003,1000,475,4478
OLAW003202505W0,W003,2025-05-06,4977,995,542,4524
OLAW003202505W1,W003,2025-05-13,5494,1098,617,5013
OLAW003202505W2,W003,2025-05-20,4676,935,530,4271
OLAW003202505W3,W003,2025-05-27,5235,1047,439,4627
OLAW003202506W0,W003,2025-06-06,5605,1121,730,5214
OLAW003202506W1,W003,2025-06-13,4914,982,340,4272
OLAW003202506W2,W003,2025-06-20,4753,950,567,4370
OLAW003202506W3,W003,2025-06-27,4803,960,392,4235
OLAW003202507W0,W003,2025-07-06,5590,1118,488,4960
OLAW003202507W1,W003,2025-07-13,5559,1111,615,5063
OLAW003202507W2,W003,2025-07-20,5126,1025,514,4615
OLAW003202507W3,W003,2025-07-27,5113,1022,677,4768
OLAW003202508W0,W003,2025-08-06,5669,1133,627,5163
OLAW003202508W1,W003,2025-08-13,6424,1284,527,5667
OLAW003202508W2,W003,2025-08-20,5578,1115,483,4946
OLAW003202508W3,W003,2025-08-27,5708,1141,633,5200
OLAW003202509W0,W003,2025-09-06,5704,1140,543,5107
OLAW003202509W1,W003,2025-09-13,5667,1133,533,5067
OLAW003202509W2,W003,2025-09-20,4954,990,341,4305
OLAW003202509W3,W003,2025-09-27,5912,1182,772,5502
OLAW003202510W0,W003,2025-10-06,7177,1435,451,6193
OLAW003202510W1,W003,2025-10-13,6997,1399,745,6343
OLAW003202510W2,W003,2025-10-20,6770,1354,638,6054
OLAW003202510W3,W003,2025-10-27,6661,1332,563,5892
OLAW003202511W0,W003,2025-11-06,7667,1533,1056,7190
OLAW003202511W1,W003,2025-11-13,6892,1378,909,6423
OLAW003202511W2,W003,2025-11-20,7067,1413,809,6463
OLAW003202511W3,W003,2025-11-27,7534,1506,513,6541
OLAW003202512W0,W003,2025-12-06,7155,1431,929,6653
OLAW003202512W1,W003,2025-12-13,7247,1449,794,6592
OLAW003202512W2,W003,2025-12-20,6408,1281,859,5986
OLAW003202512W3,W003,2025-12-27,6492,1298,838,6032
OLAW003202601W0,W003,2026-01-06,5968,1193,442,5217
OLAW003202601W1,W003,2026-01-13,5560,1112,344,4792
OLAW003202601W2,W003,2026-01-20,5892,1178,789,5503
OLAW003202601W3,W003,2026-01-27,5939,1187,798,5550
OLAW003202602W0,W003,2026-02-06,5988,1197,711,5502
OLAW003202602W1,W003,2026-02-13,5358,1071,435,4722
OLAW003202602W2,W003,2026-02-20,5910,1182,686,5414
OLAW003202602W3,W003,2026-02-27,5495,1099,713,5109
OLAW003202603W0,W003,2026-03-06,5700,1140,433,4993
OLAW003202603W1,W003,2026-03-13,6413,1282,620,5751
OLAW003202603W2,W003,2026-03-20,5785,1157,726,5354
OLAW003202603W3,W003,2026-03-27,6365,1273,497,5589
