weekly_statement_id,partner_uuid,week_start,week_end,trips,fare_earnings,tips,promotions,net_earnings
UBR-W003-20250401,W003,2025-04-01,2025-04-07,97,2521,161,549,3233
UBR-W003-20250408,W003,2025-04-08,2025-04-14,89,2630,168,573,3372
UBR-W003-20250415,W003,2025-04-15,2025-04-21,89,2423,155,528,3107
UBR-W003-20250422,W003,2025-04-22,2025-04-28,113,2648,169,577,3395
UBR-W003-20250501,W003,2025-05-01,2025-05-07,106,3137,201,683,4023
UBR-W003-20250508,W003,2025-05-08,2025-05-14,73,2860,183,623,3667
UBR-W003-20250515,W003,2025-05-15,2025-05-21,88,2687,172,585,3446
UBR-W003-20250522,W003,2025-05-22,2025-05-28,109,2737,175,596,3510
UBR-W003-20250601,W003,2025-06-01,2025-06-07,74,3018,193,657,3870
UBR-W003-20250608,W003,2025-06-08,2025-06-14,110,2893,185,630,3710
UBR-W003-20250615,W003,2025-06-15,2025-06-21,94,3153,202,687,4043
UBR-W003-20250622,W003,2025-06-22,2025-06-28,92,3389,217,738,4345
UBR-W003-20250701,W003,2025-07-01,2025-07-07,79,3013,193,656,3864
UBR-W003-20250708,W003,2025-07-08,2025-07-14,108,2913,186,634,3735
UBR-W003-20250715,W003,2025-07-15,2025-07-21,88,2757,176,600,3535
UBR-W003-20250722,W003,2025-07-22,2025-07-28,99,2641,169,575,3386
UBR-W003-20250801,W003,2025-08-01,2025-08-07,115,2919,187,636,3743
UBR-W003-20250808,W003,2025-08-08,2025-08-14,114,3063,196,667,3928
UBR-W003-20250815,W003,2025-08-15,2025-08-21,95,2646,169,576,3393
UBR-W003-20250822,W003,2025-08-22,2025-08-28,76,2833,181,617,3633
UBR-W003-20250901,W003,2025-09-01,2025-09-07,111,3580,229,780,4590
UBR-W003-20250908,W003,2025-09-08,2025-09-14,114,3566,228,777,4573
UBR-W003-20250915,W003,2025-09-15,2025-09-21,91,3415,218,744,4379
UBR-W003-20250922,W003,2025-09-22,2025-09-28,91,3721,238,811,4771
UBR-W003-20251001,W003,2025-10-01,2025-10-07,97,3777,242,823,4843
UBR-W003-20251008,W003,2025-10-08,2025-10-14,90,4073,261,887,5222
UBR-W003-20251015,W003,2025-10-15,2025-10-21,80,3959,253,862,5076
UBR-W003-20251022,W003,2025-10-22,2025-10-28,98,3669,235,799,4705
UBR-W003-20251101,W003,2025-11-01,2025-11-07,115,3947,253,860,5061
UBR-W003-20251108,W003,2025-11-08,2025-11-14,83,4242,271,924,5439
UBR-W003-20251115,W003,2025-11-15,2025-11-21,108,4136,265,901,5303
UBR-W003-20251122,W003,2025-11-22,2025-11-28,97,3885,249,846,4981
UBR-W003-20251201,W003,2025-12-01,2025-12-07,91,3316,212,722,4252
UBR-W003-20251208,W003,2025-12-08,2025-12-14,85,3545,227,772,4545
UBR-W003-20251215,W003,2025-12-15,2025-12-21,109,3659,234,797,4692
UBR-W003-20251222,W003,2025-12-22,2025-12-28,113,3800,243,828,4873
UBR-W003-20260101,W003,2026-01-01,2026-01-07,100,2788,178,607,3575
UBR-W003-20260108,W003,2026-01-08,2026-01-14,85,2974,190,648,3814
UBR-W003-20260115,W003,2026-01-15,2026-01-21,102,2843,182,619,3646
UBR-W003-20260122,W003,2026-01-22,2026-01-28,82,3023,193,658,3876
UBR-W003-20260201,W003,2026-02-01,2026-02-07,104,2990,191,651,3834
UBR-W003-20260208,W003,2026-02-08,2026-02-14,112,3293,211,717,4223
UBR-W003-20260215,W003,2026-02-15,2026-02-21,93,3258,208,710,4178
UBR-W003-20260222,W003,2026-02-22,2026-02-28,87,2838,181,618,3639
UBR-W003-20260301,W003,2026-03-01,2026-03-07,84,3116,199,679,3995
UBR-W003-20260308,W003,2026-03-08,2026-03-14,73,3053,195,665,3915
UBR-W003-20260315,W003,2026-03-15,2026-03-21,87,2973,190,648,3812
UBR-W003-20260322,W003,2026-03-22,2026-03-28,111,3315,212,722,4251
