job_id,professional_id,job_date,service,customer_paid,uc_fee,professional_payout
UC202504W002J00,W002,2025-04-15,Spa,2237,559,1678
UC202504W002J01,W002,2025-04-23,Bridal,2221,555,1666
UC202504W002J02,W002,2025-04-13,Spa,2149,537,1612
UC202504W002J03,W002,2025-04-21,Salon at Home,2027,506,1521
UC202504W002J04,W002,2025-04-25,Spa,2242,560,1682
UC202504W002J05,W002,2025-04-06,Bridal,2290,572,1718
UC202504W002J06,W002,2025-04-02,Spa,2310,577,1733
UC202504W002J07,W002,2025-04-28,Bridal,2087,521,1566
UC202504W002J08,W002,2025-04-05,Hair Treatment,2262,565,1697
UC202504W002J09,W002,2025-04-25,Bridal,2251,562,1689
UC202504W002J10,W002,2025-04-27,Bridal,2305,576,1729
UC202504W002J11,W002,2025-04-06,Bridal,2268,567,1701
UC202504W002J12,W002,2025-04-09,Hair Treatment,2151,537,1614
UC202504W002J13,W002,2025-04-25,Bridal,2291,572,1719
UC202504W002J14,W002,2025-04-21,Hair Treatment,2147,536,1611
UC202504W002J15,W002,2025-04-15,Hair Treatment,2064,516,1548
UC202504W002J16,W002,2025-04-08,Hair Treatment,2164,541,1623
UC202504W002J17,W002,2025-04-11,Salon at Home,2301,575,1726
UC202504W002J18,W002,2025-04-05,Spa,2102,525,1577
UC202504W002J19,W002,2025-04-13,Spa,2103,525,1578
UC202504W002J20,W002,2025-04-03,Bridal,2237,559,1678
UC202504W002J21,W002,2025-04-11,Bridal,2302,575,1727
UC202504W002J22,W002,2025-04-14,Spa,2056,514,1542
UC202504W002J23,W002,2025-04-27,Bridal,2240,560,1680
UC202504W002J24,W002,2025-04-25,Salon at Home,2324,581,1743
UC202504W002J25,W002,2025-04-28,Bridal,2319,579,1740
UC202504W002J26,W002,2025-04-16,Hair Treatment,2028,507,1521
UC202504W002J27,W002,2025-04-10,Bridal,2224,556,1668
UC202504W002J28,W002,2025-04-18,Spa,2304,576,1728
UC202505W002J00,W002,2025-05-14,Salon at Home,1836,459,1377
UC202505W002J01,W002,2025-05-13,Bridal,1760,440,1320
UC202505W002J02,W002,2025-05-24,Bridal,1672,418,1254
UC202505W002J03,W002,2025-05-05,Salon at Home,1861,465,1396
UC202505W002J04,W002,2025-05-13,Salon at Home,1876,469,1407
UC202505W002J05,W002,2025-05-03,Spa,1807,451,1356
UC202505W002J06,W002,2025-05-28,Spa,1824,456,1368
UC202505W002J07,W002,2025-05-02,Bridal,1721,430,1291
UC202505W002J08,W002,2025-05-11,Bridal,1696,424,1272
UC202505W002J09,W002,2025-05-11,Bridal,1760,440,1320
UC202505W002J10,W002,2025-05-09,Hair Treatment,1803,450,1353
UC202505W002J11,W002,2025-05-27,Bridal,1629,407,1222
