payout_id,partner_id,week_ending,orders,gross_earnings,incentives,tds_deducted,net_payout
ZOM202504W0010,W001,2025-04-07,100,4136,421,41,4516
ZOM202504W0011,W001,2025-04-14,91,4339,259,43,4555
ZOM202504W0012,W001,2025-04-21,119,4803,489,48,5244
ZOM202504W0013,W001,2025-04-28,87,4200,383,42,4541
ZOM202505W0010,W001,2025-05-07,123,3535,234,35,3734
ZOM202505W0011,W001,2025-05-14,130,3339,298,33,3604
ZOM202505W0012,W001,2025-05-21,111,3977,394,39,4332
ZOM202505W0013,W001,2025-05-28,102,3537,288,35,3790
ZOM202506W0010,W001,2025-06-07,95,3956,407,39,4324
ZOM202506W0011,W001,2025-06-14,102,4664,371,46,4989
ZOM202506W0012,W001,2025-06-21,133,4109,267,41,4335
ZOM202506W0013,W001,2025-06-28,109,4294,245,42,4497
ZOM202507W0010,W001,2025-07-07,136,3813,351,38,4126
ZOM202507W0011,W001,2025-07-14,119,3505,354,35,3824
ZOM202507W0012,W001,2025-07-21,109,3588,423,35,3976
ZOM202507W0013,W001,2025-07-28,138,3541,313,35,3819
ZOM202508W0010,W001,2025-08-07,130,4701,425,47,5079
ZOM202508W0011,W001,2025-08-14,99,4402,234,44,4592
ZOM202508W0012,W001,2025-08-21,90,5122,359,51,5430
ZOM202508W0013,W001,2025-08-28,109,4569,505,45,5029
ZOM202509W0010,W001,2025-09-07,95,4723,511,47,5187
ZOM202509W0011,W001,2025-09-14,127,4452,333,44,4741
ZOM202509W0012,W001,2025-09-21,128,4346,430,43,4733
ZOM202509W0013,W001,2025-09-28,125,4736,260,47,4949
ZOM202510W0010,W001,2025-10-07,114,5236,351,52,5535
ZOM202510W0011,W001,2025-10-14,125,4878,336,48,5166
ZOM202510W0012,W001,2025-10-21,128,5194,462,51,5605
ZOM202510W0013,W001,2025-10-28,134,4822,525,48,5299
ZOM202511W0010,W001,2025-11-07,110,4536,482,45,4973
ZOM202511W0011,W001,2025-11-14,121,4778,261,47,4992
ZOM202511W0012,W001,2025-11-21,126,5239,377,52,5564
ZOM202511W0013,W001,2025-11-28,126,5015,389,50,5354
ZOM202512W0010,W001,2025-12-07,132,4994,298,49,5243
ZOM202512W0011,W001,2025-12-14,132,5297,464,52,5709
ZOM202512W0012,W001,2025-12-21,122,5321,425,53,5693
ZOM202512W0013,W001,2025-12-28,93,5131,386,51,5466
ZOM202601W0010,W001,2026-01-07,140,3842,395,38,4199
ZOM202601W0011,W001,2026-01-14,95,3861,234,38,4057
ZOM202601W0012,W001,2026-01-21,89,4445,353,44,4754
ZOM202601W0013,W001,2026-01-28,114,4143,317,41,4419
ZOM202602W0010,W001,2026-02-07,85,4470,492,44,4918
ZOM202602W0011,W001,2026-02-14,128,4600,462,46,5016
ZOM202602W0012,W001,2026-02-21,134,4453,456,44,4865
ZOM202602W0013,W001,2026-02-28,103,4560,336,45,4851
ZOM202603W0010,W001,2026-03-07,131,4493,225,44,4674
ZOM202603W0011,W001,2026-03-14,117,4765,326,47,5044
ZOM202603W0012,W001,2026-03-21,91,4809,300,48,5061
ZOM202603W0013,W001,2026-03-28,125,4669,330,46,4953
