txn_ref,de_id,payout_date,base_pay,surge,bonus,tds,total
SWGY-2504-W001-W1,W001,2025-04-08,3304,314,0,36,3582
SWGY-2504-W001-W2,W001,2025-04-15,3653,640,1000,42,5251
SWGY-2504-W001-W3,W001,2025-04-22,3101,433,500,35,3999
SWGY-2504-W001-W4,W001,2025-04-29,3120,284,0,34,3370
SWGY-2505-W001-W1,W001,2025-05-08,3564,370,0,39,3895
SWGY-2505-W001-W2,W001,2025-05-15,3830,669,0,44,4455
SWGY-2505-W001-W3,W001,2025-05-22,3747,605,1000,43,5309
SWGY-2505-W001-W4,W001,2025-05-29,3378,313,500,36,4155
SWGY-2506-W001-W1,W001,2025-06-08,3356,357,1000,37,4676
SWGY-2506-W001-W2,W001,2025-06-15,3620,638,1000,42,5216
SWGY-2506-W001-W3,W001,2025-06-22,3392,513,500,39,4366
SWGY-2506-W001-W4,W001,2025-06-29,3569,441,1000,40,4970
SWGY-2507-W001-W1,W001,2025-07-08,3239,331,0,35,3535
SWGY-2507-W001-W2,W001,2025-07-15,3007,417,0,34,3390
SWGY-2507-W001-W3,W001,2025-07-22,3211,259,0,34,3436
SWGY-2507-W001-W4,W001,2025-07-29,3220,279,0,34,3465
SWGY-2508-W001-W1,W001,2025-08-08,3650,479,0,41,4088
SWGY-2508-W001-W2,W001,2025-08-15,4075,413,0,44,4444
SWGY-2508-W001-W3,W001,2025-08-22,4162,572,0,47,4687
SWGY-2508-W001-W4,W001,2025-08-29,4062,652,0,47,4667
SWGY-2509-W001-W1,W001,2025-09-08,3458,399,500,38,4319
SWGY-2509-W001-W2,W001,2025-09-15,3495,581,0,40,4036
SWGY-2509-W001-W3,W001,2025-09-22,3117,268,0,33,3352
SWGY-2509-W001-W4,W001,2025-09-29,3128,328,0,34,3422
SWGY-2510-W001-W1,W001,2025-10-08,4008,489,0,44,4453
SWGY-2510-W001-W2,W001,2025-10-15,4338,455,0,47,4746
SWGY-2510-W001-W3,W001,2025-10-22,4318,694,1000,50,5962
SWGY-2510-W001-W4,W001,2025-10-29,3965,337,1000,43,5259
SWGY-2511-W001-W1,W001,2025-11-08,4409,761,0,51,5119
SWGY-2511-W001-W2,W001,2025-11-15,4484,540,500,50,5474
SWGY-2511-W001-W3,W001,2025-11-22,4532,754,0,52,5234
SWGY-2511-W001-W4,W001,2025-11-29,4482,528,500,50,5460
SWGY-2512-W001-W1,W001,2025-12-08,3963,430,1000,43,5350
SWGY-2512-W001-W2,W001,2025-12-15,3996,381,0,43,4334
SWGY-2512-W001-W3,W001,2025-12-22,3720,657,1000,43,5334
SWGY-2512-W001-W4,W001,2025-12-29,4053,348,0,44,4357
SWGY-2601-W001-W1,W001,2026-01-08,3175,405,1000,35,4545
SWGY-2601-W001-W2,W001,2026-01-15,2738,234,1000,29,3943
SWGY-2601-W001-W3,W001,2026-01-22,2659,439,0,30,3068
SWGY-2601-W001-W4,W001,2026-01-29,2646,390,0,30,3006
SWGY-2602-W001-W1,W001,2026-02-08,3531,369,1000,39,4861
SWGY-2602-W001-W2,W001,2026-02-15,2988,424,500,34,3878
SWGY-2602-W001-W3,W001,2026-02-22,3545,483,0,40,3988
SWGY-2602-W001-W4,W001,2026-03-01,3215,322,0,35,3502
SWGY-2603-W001-W1,W001,2026-03-08,3385,315,0,37,3663
SWGY-2603-W001-W2,W001,2026-03-15,3448,384,0,38,3794
SWGY-2603-W001-W3,W001,2026-03-22,2989,376,1000,33,4332
SWGY-2603-W001-W4,W001,2026-03-29,3082,269,0,33,3318
